time,value
2024-12-06T16:48:49.221928399Z,3
2024-12-06T16:48:59.257136643Z,2
2024-12-06T16:49:09.291542581Z,3
2024-12-06T16:49:19.223862965Z,3
2024-12-06T16:49:29.260123595Z,3
2024-12-06T16:49:39.296385307Z,3
2024-12-06T16:49:49.22642893Z,3
2024-12-06T16:49:59.262346472Z,3
2024-12-06T16:50:09.29888661Z,3
2024-12-06T16:50:19.22759796Z,3
2024-12-06T16:50:29.265267234Z,3
2024-12-06T16:50:39.301245491Z,3
2024-12-06T16:50:49.235590035Z,3
2024-12-06T16:50:59.270588695Z,3
2024-12-06T16:51:09.201819348Z,3
2024-12-06T16:51:19.237903766Z,41
2024-12-06T16:51:29.272652965Z,51
2024-12-06T16:51:39.205198806Z,28
2024-12-06T16:51:49.241775375Z,20
2024-12-06T16:51:59.277413085Z,16
2024-12-06T16:52:09.209078303Z,14
2024-12-06T16:52:19.241160374Z,13
2024-12-06T16:52:29.282736117Z,12
2024-12-06T16:52:39.211258282Z,11
2024-12-06T16:52:49.247456831Z,11
2024-12-06T16:52:59.282887405Z,11
2024-12-06T16:53:09.217598457Z,11
2024-12-06T16:53:19.250141974Z,11
2024-12-06T16:53:29.287771978Z,11
2024-12-06T16:53:39.219336914Z,10
2024-12-06T16:53:49.253916668Z,9
2024-12-06T16:53:59.289097602Z,8
2024-12-06T16:54:09.221922037Z,7
2024-12-06T16:54:19.257204461Z,7
2024-12-06T16:54:29.306370108Z,7
2024-12-06T16:54:39.227957643Z,6
2024-12-06T16:54:49.261672451Z,6
2024-12-06T16:54:59.296803881Z,6
2024-12-06T16:55:09.228625887Z,6
2024-12-06T16:55:36.975118086Z,6
2024-12-06T16:55:47.115372345Z,6
2024-12-06T16:55:57.150034581Z,6
2024-12-06T16:56:07.286023787Z,6
2024-12-06T16:56:17.322388115Z,6
2024-12-06T16:56:27.460104697Z,6
2024-12-06T16:56:37.599339627Z,6
2024-12-06T16:56:47.632799333Z,6
2024-12-06T16:56:57.772747607Z,6
2024-12-06T16:57:07.805876432Z,6
2024-12-06T16:57:17.942414044Z,5
2024-12-06T16:57:28.186509157Z,6
2024-12-06T16:57:38.223803594Z,6
2024-12-06T16:57:48.252838403Z,5
2024-12-06T16:57:58.395764846Z,6
2024-12-06T16:58:08.425989948Z,6
2024-12-06T16:58:18.563776951Z,6
2024-12-06T16:58:28.7018498Z,6
2024-12-06T16:58:38.743307339Z,6
2024-12-06T16:58:48.874803669Z,6
2024-12-06T16:58:58.910025136Z,6
2024-12-06T16:59:09.048269182Z,6
2024-12-06T16:59:19.188946677Z,6
2024-12-06T16:59:29.220264033Z,6
2024-12-06T16:59:39.35901471Z,6
2024-12-06T16:59:49.395836574Z,6
2024-12-06T16:59:59.529667613Z,6
2024-12-06T17:00:09.668313716Z,7
2024-12-06T17:00:19.703529707Z,7
2024-12-06T17:00:29.840099008Z,7
2024-12-06T17:00:39.977879588Z,8
2024-12-06T17:00:49.99087176Z,7
2024-12-06T17:01:00.092453841Z,7
2024-12-06T17:01:10.195655533Z,7
2024-12-06T17:01:20.29008425Z,6
2024-12-06T17:01:30.461654965Z,6
2024-12-06T17:01:40.599312119Z,6
2024-12-06T17:01:50.637428891Z,6
2024-12-06T17:02:11.123782539Z,6
2024-12-06T17:02:21.257163496Z,14
2024-12-06T17:02:31.290065736Z,19
2024-12-06T17:02:41.429063838Z,13
2024-12-06T17:02:51.463939539Z,21
2024-12-06T17:03:01.6007888Z,44
2024-12-06T17:03:11.636560532Z,53
2024-12-06T17:35:03.563106111Z,53
2024-12-06T17:35:13.605724874Z,17
2024-12-06T17:35:30.286220112Z,17
2024-12-06T17:35:40.321528682Z,16
2024-12-06T17:35:50.356093566Z,17
2024-12-06T17:36:00.494664228Z,17
2024-12-06T17:36:10.638788861Z,17
2024-12-06T17:36:20.674153788Z,17
2024-12-06T17:36:30.702366451Z,17
2024-12-06T17:36:40.737834837Z,17
2024-12-06T17:36:50.876793357Z,16
2024-12-06T17:37:00.910073044Z,16
2024-12-06T17:37:11.04876685Z,16
2024-12-06T17:37:21.08275018Z,17
2024-12-06T17:37:31.223649938Z,17
2024-12-06T17:37:41.267649718Z,18
2024-12-06T17:37:51.292482656Z,18
2024-12-06T17:38:01.42988033Z,20
2024-12-06T17:38:11.463641425Z,21
2024-12-06T17:38:21.602095756Z,23
2024-12-06T17:38:31.636928298Z,23
2024-12-06T17:38:41.675998374Z,23
2024-12-06T17:38:51.812185573Z,21
2024-12-06T17:39:01.844415353Z,19
2024-12-06T17:39:11.982920688Z,18
2024-12-06T17:39:22.018072962Z,18
2024-12-06T17:39:32.055474051Z,19
2024-12-06T17:39:42.193417575Z,19
2024-12-06T17:39:52.233425388Z,18
2024-12-06T17:40:02.371104005Z,18
2024-12-06T17:40:12.406764389Z,18
2024-12-06T17:40:22.539717547Z,19
2024-12-06T17:40:32.582090188Z,19
2024-12-06T17:40:42.608018309Z,18
2024-12-06T17:40:52.746047897Z,18
2024-12-06T17:41:02.781636678Z,18
2024-12-06T17:41:12.918142108Z,18
2024-12-06T17:41:22.955121082Z,18
2024-12-06T17:41:33.09262679Z,18
2024-12-06T17:41:43.12799958Z,18
2024-12-06T17:41:53.264893777Z,18
2024-12-06T17:42:03.305218102Z,18
2024-12-06T23:15:47.139902348Z,18
2024-12-06T23:15:57.219146967Z,34
2024-12-06T23:16:07.302582058Z,34
2024-12-06T23:16:17.361728947Z,34
2024-12-06T23:16:27.438666072Z,34
2024-12-06T23:16:37.519169359Z,34
2024-12-06T23:16:47.600538758Z,35
2024-12-06T23:16:57.676174338Z,34
2024-12-06T23:17:07.737256988Z,34
2024-12-06T23:17:17.824093618Z,34
2024-12-06T23:17:27.864958923Z,34
2024-12-06T23:17:37.920355157Z,35
2024-12-06T23:17:47.960222883Z,35
2024-12-06T23:17:58.01626899Z,35
2024-12-06T23:18:08.081445548Z,35
2024-12-06T23:18:18.149424069Z,35
2024-12-06T23:18:28.191804977Z,35
2024-12-06T23:18:38.270410467Z,34
2024-12-06T23:18:48.343532043Z,34
2024-12-06T23:18:58.406183654Z,34
2024-12-06T23:19:08.457784524Z,34
2024-12-06T23:19:18.528025939Z,34
2024-12-06T23:19:28.599457059Z,34
2024-12-06T23:19:38.67203975Z,34
2024-12-06T23:19:48.715314568Z,34
2024-12-06T23:19:58.796367533Z,34
2024-12-06T23:20:08.852130558Z,34
2024-12-06T23:20:18.926578696Z,34
2024-12-06T23:20:28.979655559Z,34
2024-12-06T23:20:39.052075666Z,34
2024-12-06T23:20:49.118092766Z,34
2024-12-06T23:20:59.197743693Z,34
2024-12-06T23:21:09.241399928Z,34
2024-12-06T23:21:19.296079454Z,34
2024-12-06T23:21:29.362038585Z,34
2024-12-06T23:21:39.421245058Z,34
2024-12-06T23:21:49.496012564Z,34
2024-12-06T23:21:59.565279852Z,34
2024-12-06T23:22:09.640505868Z,34
2024-12-06T23:22:19.729164376Z,34
2024-12-06T23:22:29.814606864Z,34
2024-12-06T23:22:39.883426504Z,34
2024-12-06T23:22:49.93340256Z,34
2024-12-06T23:23:00.006098113Z,34
2024-12-06T23:23:10.077730784Z,35
2024-12-06T23:23:20.140640127Z,35
2024-12-06T23:23:30.188105803Z,35
2024-12-06T23:23:40.26391694Z,35
2024-12-06T23:23:50.33705534Z,35
2024-12-06T23:24:00.404120814Z,35
2024-12-06T23:24:10.447257658Z,35
2024-12-06T23:24:20.53040234Z,35
2024-12-06T23:24:30.614042379Z,35
2024-12-06T23:24:40.685934843Z,35
2024-12-06T23:24:50.766810071Z,35
2024-12-06T23:25:00.847064877Z,35
2024-12-06T23:25:10.897192079Z,35
2024-12-06T23:25:20.975100908Z,35
2024-12-06T23:25:31.034047217Z,35
2024-12-06T23:25:41.122480262Z,35
2024-12-06T23:25:51.159190029Z,35
2024-12-06T23:26:01.23422564Z,35
2024-12-06T23:26:11.316114431Z,35
2024-12-06T23:26:21.395768978Z,35
2024-12-06T23:26:31.438016369Z,35
2024-12-06T23:26:41.515339704Z,35
2024-12-06T23:26:51.557249625Z,35
2024-12-06T23:27:01.57045392Z,42
2024-12-06T23:27:11.672469275Z,44
2024-12-06T23:27:21.720438724Z,43
2024-12-06T23:27:31.79348534Z,69
2024-12-06T23:27:41.873725417Z,83
2024-12-06T23:27:51.974327673Z,89
2024-12-06T23:28:02.077663347Z,92
2024-12-06T23:28:12.137891513Z,93
2024-12-06T23:28:22.235163587Z,89
2024-12-06T23:28:32.312258938Z,81
2024-12-06T23:28:42.409333436Z,72
2024-12-06T23:28:52.50470453Z,61
2024-12-06T23:29:02.552100325Z,55
2024-12-06T23:29:12.607388127Z,48
2024-12-06T23:29:22.68481124Z,47
2024-12-06T23:29:32.786832087Z,50
2024-12-06T23:29:42.908788021Z,50
2024-12-06T23:29:52.993492709Z,47
2024-12-06T23:30:03.069950291Z,41
2024-12-06T23:31:09.359705564Z,41
2024-12-06T23:31:19.443642283Z,34
2024-12-06T23:31:29.477604624Z,34
2024-12-06T23:31:39.55217316Z,34
2024-12-06T23:31:49.643863282Z,34
2024-12-06T23:31:59.729755502Z,34
2024-12-06T23:32:09.754246718Z,35
2024-12-06T23:32:19.812816932Z,35
2024-12-06T23:32:29.886934851Z,35
2024-12-06T23:32:39.958557637Z,36
2024-12-06T23:32:50.004499294Z,36
2024-12-06T23:33:00.066805625Z,36
2024-12-06T23:33:10.135675147Z,36
2024-12-06T23:33:20.205206363Z,36
2024-12-06T23:33:30.25411682Z,36
2024-12-06T23:33:40.316341627Z,36
2024-12-06T23:33:50.391604216Z,36
2024-12-06T23:34:00.469542156Z,37
2024-12-06T23:34:12.844303298Z,37
2024-12-06T23:34:22.884567194Z,37
2024-12-06T23:34:32.948987946Z,37
2024-12-06T23:34:43.024015241Z,37
2024-12-06T23:34:53.101965529Z,38
2024-12-06T23:35:03.161406478Z,37
2024-12-06T23:35:13.234505418Z,37
2024-12-06T23:35:23.310705028Z,39
2024-12-06T23:35:33.377937713Z,40
