time,temperature,humidity,microphone
2024-12-06 17:35:03.563106111+00:00,32,53,70.08
2024-12-06 17:35:13.605724874+00:00,27,17,18.64
2024-12-06 17:35:30.286220112+00:00,27,17,18.64
2024-12-06 17:35:40.321528682+00:00,26.9,16,103
2024-12-06 17:35:50.356093566+00:00,26.9,17,51.52
2024-12-06 17:36:00.494664228+00:00,26.9,17,42.66
2024-12-06 17:36:10.638788861+00:00,26.8,17,36.14
2024-12-06 17:36:20.674153788+00:00,26.9,17,34.14
2024-12-06 17:36:30.702366451+00:00,26.8,17,12.08
2024-12-06 17:36:40.737834837+00:00,26.8,17,13.48
2024-12-06 17:36:50.876793357+00:00,26.7,16,5.16
2024-12-06 17:37:00.910073044+00:00,26.6,16,11.8
2024-12-06 17:37:11.048766850+00:00,26.5,16,32.36
2024-12-06 17:37:21.082750180+00:00,26.4,17,44.48
2024-12-06 17:37:31.223649938+00:00,26.4,17,93.24
2024-12-06 17:37:41.267649718+00:00,26.3,18,75.32
2024-12-06 17:37:51.292482656+00:00,26.3,18,78.14
2024-12-06 17:38:01.429880330+00:00,26.3,20,90.56
2024-12-06 17:38:11.463641425+00:00,26.4,21,62.68
2024-12-06 17:38:21.602095756+00:00,26.6,23,28.92
2024-12-06 17:38:31.636928298+00:00,26.7,23,28.58
2024-12-06 17:38:41.675998374+00:00,26.8,23,36.32
2024-12-06 17:38:51.812185573+00:00,26.9,21,23.04
2024-12-06 17:39:01.844415353+00:00,26.9,19,13.02
2024-12-06 17:39:11.982920688+00:00,26.8,18,155.08
2024-12-06 17:39:22.018072962+00:00,26.8,18,27.92
2024-12-06 17:39:32.055474051+00:00,26.7,19,8.64
2024-12-06 17:39:42.193417575+00:00,26.7,19,60.44
2024-12-06 17:39:52.233425388+00:00,26.6,18,11.46
2024-12-06 17:40:02.371104005+00:00,26.6,18,21.96
2024-12-06 17:40:12.406764389+00:00,26.5,18,23.22
2024-12-06 17:40:22.539717547+00:00,26.5,19,27.78
2024-12-06 17:40:32.582090188+00:00,26.4,19,64.82
2024-12-06 17:40:42.608018309+00:00,26.4,18,24.02
2024-12-06 17:40:52.746047897+00:00,26.3,18,52.36
2024-12-06 17:41:02.781636678+00:00,26.2,18,63.96
2024-12-06 17:41:12.918142108+00:00,26.2,18,14.16
2024-12-06 17:41:22.955121082+00:00,26.1,18,25.92
2024-12-06 17:41:33.092626790+00:00,26.1,18,21.34
2024-12-06 17:41:43.127999580+00:00,26,18,19.28
2024-12-06 17:41:53.264893777+00:00,25.9,18,44.92
2024-12-06 17:42:03.305218102+00:00,25.9,18,33.72
2024-12-06 23:15:47.139902348+00:00,25.9,18,33.72
2024-12-06 23:16:07.302582058+00:00,25.7,34,4.2
2024-12-06 23:16:27.438666072+00:00,25.7,34,4.16
2024-12-06 23:16:47.600538758+00:00,25.7,35,6.28
2024-12-06 23:17:07.737256988+00:00,25.7,34,5.76
2024-12-06 23:17:27.864958923+00:00,25.7,34,45.08
2024-12-06 23:17:47.960222883+00:00,25.7,35,3.04
2024-12-06 23:18:08.081445548+00:00,25.8,35,13
2024-12-06 23:18:28.191804977+00:00,25.8,35,6.72
2024-12-06 23:18:48.343532043+00:00,25.8,34,9.48
2024-12-06 23:19:08.457784524+00:00,25.8,34,25.52
2024-12-06 23:19:28.599457059+00:00,25.7,34,5.84
2024-12-06 23:19:48.715314568+00:00,25.7,34,2.48
2024-12-06 23:20:08.852130558+00:00,25.7,34,3.08
2024-12-06 23:20:28.979655559+00:00,25.6,34,6.24
2024-12-06 23:20:49.118092766+00:00,25.6,34,4.08
2024-12-06 23:21:09.241399928+00:00,25.6,34,3.4
2024-12-06 23:21:29.362038585+00:00,25.5,34,5.4
2024-12-06 23:21:49.496012564+00:00,25.5,34,6.44
2024-12-06 23:22:09.640505868+00:00,25.5,34,6.76
2024-12-06 23:22:29.814606864+00:00,25.5,34,4.16
